år;lägst;högst;skatteavdrag i procent
2017;0;18950;0
2017;18951;60600;10
2017;60601;131700;23
2017;131701;361900;30
2017;361901;452100;33
2017;452101;606500;53
2017;606501;651700;56
2017;651701;1490000;61
2017;1490001;;58
2018;0;19246;0
2018;19247;61600;10
2018;61601;133700;23
2018;133701;367600;30
2018;367601;468700;33
2018;468701;616000;53
2018;616601;675000;56
2018;675701;1514400;61
2018;1514401;;58
2019;0;19669;0
2019;19670;63200;10
2019;63201;150600;23
2019;150601;375800;30
2019;375801;504400;33
2019;504401;629600;53
2019;629601;703000;56
2019;703001;1630700;61
2019;1630701;;58
