År;Antal dgr;Tabellnr;Inkomst fr.o.m.;Inkomst t.o.m.;Kolumn 1;Kolumn 2;Kolumn 3;Kolumn 4;Kolumn 5;Kolumn 6;;;
2019;30B;29;1;1600;0;0;0;0;0;0;0;;
2019;30B;29;1601;1700;117;0;116;1;117;17;6.88235294117647;;
2019;30B;29;1701;1800;128;0;125;24;128;47;7.11111111111111;;
2019;30B;29;1801;1900;138;0;133;53;138;77;7.26315789473684;;
2019;30B;29;1901;2000;149;0;141;82;149;107;7.45;;
2019;30B;29;2001;2100;159;0;150;111;159;137;7.57142857142857;;
2019;30B;29;2101;2200;162;0;150;139;167;167;7.36363636363636;;
2019;30B;29;2201;2300;172;0;158;168;197;197;7.47826086956522;;
2019;30B;29;2301;2400;183;0;166;197;227;227;7.625;;
2019;30B;29;2401;2500;193;0;175;226;257;257;7.72;;
2019;30B;29;2501;2600;204;0;183;254;287;287;7.84615384615385;;
2019;30B;29;2601;2700;214;0;191;283;317;317;7.92592592592593;;
2019;30B;29;2701;2800;225;0;200;312;347;347;8.03571428571429;;
2019;30B;29;2801;2900;227;0;200;341;377;377;7.82758620689655;;
2019;30B;29;2901;3000;237;0;208;369;407;407;7.9;;
2019;30B;29;3001;3100;248;0;216;398;437;437;8;;
2019;30B;29;3101;3200;258;0;225;427;467;467;8.0625;;
2019;30B;29;3201;3300;269;0;233;456;497;497;8.15151515151515;;
2019;30B;29;3301;3400;279;0;241;484;527;527;8.20588235294118;;
2019;30B;29;3401;3500;281;0;241;513;557;557;8.02857142857143;;
2019;30B;29;3501;3600;292;0;250;542;587;587;8.11111111111111;;
2019;30B;29;3601;3700;302;0;258;571;617;617;8.16216216216216;;
2019;30B;29;3701;3800;313;0;266;599;647;647;8.23684210526316;;
2019;30B;29;3801;3900;323;0;275;623;672;672;8.28205128205128;;
2019;30B;29;3901;4000;333;0;283;647;697;697;8.325;;
2019;30B;29;4001;4100;335;0;283;668;719;719;8.17073170731707;;
2019;30B;29;4101;4200;345;0;291;692;744;744;8.21428571428571;;
2019;30B;29;4201;4300;355;0;300;716;769;769;8.25581395348837;;
2019;30B;29;4301;4400;365;19;309;737;792;792;8.29545454545455;;
2019;30B;29;4401;4500;375;42;319;761;817;817;8.33333333333333;;
2019;30B;29;4501;4600;385;64;329;782;839;839;8.3695652173913;;
2019;30B;29;4601;4700;387;87;331;806;864;864;8.23404255319149;;
2019;30B;29;4701;4800;397;109;341;829;889;889;8.27083333333333;;
